0.0006|289.24008| +5.15061|628|J19169+051S  |V1298 Aql (vB 10)      |752 B   |19 16 57.62|+05 09 02.20| 9.91|2012-08-03|3|1200.0|1| 900|V1298 Aql
1.2535|289.23025| +5.16906|627|J19169+051N  |V1428 Aql              |752 A   |19 16 55.26|+05 10 08.60| 5.58|2012-08-05|1|  70.0| |    |V1428 Aql
0.0009|293.66600| +4.58250|636|J19346+045   |HD 184489              |763     |19 34 39.84|+04 34 57.00| 6.71|2011-11-11|1|  60.0| |    |HD 184489
0.0009|298.47679|+44.41506|645|J19539+444WAB|V1581 Cyg              |1245 AB |19 53 54.43|+44 24 54.20| 7.79|2012-08-02|1| 800.0| |    |V1581 Cyg
0.1184|298.47954|+44.41528|646|J19539+444E  |G 208-045              |1245 C  |19 53 55.09|+44 24 55.00| 8.28|2012-08-02|1|1000.0| |    |G 208-045
0.0005|298.47954|+44.41528|646|J19539+444E  |G 208-045              |1245 C  |19 53 55.09|+44 24 55.00| 8.28|2012-08-02|1|1000.0| |    |G 208-045
0.1185|298.47679|+44.41506|645|J19539+444WAB|V1581 Cyg              |1245 AB |19 53 54.43|+44 24 54.20| 7.79|2012-08-02|1| 800.0| |    |V1581 Cyg
0.0002|302.71842|+77.23897|658|J20108+772   |HD 193202              |786     |20 10 52.42|+77 14 20.30| 6.41|2012-08-04|1| 120.0| |    |HD 193202
0.0000|310.14017|+15.49922|670|J20405+154   |G 144-25               |1256    |20 40 33.64|+15 29 57.20| 8.64|2012-08-31|1|1000.0|1| 800|G 144-25
0.1330|316.72258|+38.74806|685|J21068+387   |61 Cyg A               |820 A   |21 06 53.42|+38 44 53.00| 3.11|2011-11-11|1|   4.0| |    |61 Cyg A
0.5445|316.72808|+38.74073|686|J21069+387   |61 Cyg B               |820 B   |21 06 54.74|+38 44 26.64| 3.55|2011-11-11|1|  10.0| |    |61 Cyg B
0.1294|316.72808|+38.74073|686|J21069+387   |61 Cyg B               |820 B   |21 06 54.74|+38 44 26.64| 3.55|2011-11-11|1|  10.0| |    |61 Cyg B
0.5088|316.72258|+38.74806|685|J21068+387   |61 Cyg A               |820 A   |21 06 53.42|+38 44 53.00| 3.11|2011-11-11|1|   4.0| |    |61 Cyg A
0.0011|330.54279| +1.40022|700|J22021+014   |HD 209290              |846     |22 02 10.27|+01 24 00.80| 6.20|2012-08-05|1|  60.0| |    |HD 209290
0.0005|339.65800|+56.79564|711|J22386+567   |V416 Lac               |        |22 38 37.92|+56 47 44.30| 1.09|2012-01-04|1|   2.0| |    |V416 Lac
0.0005|346.75108| +9.40950|729|J23070+094   |55 Peg                 |        |23 07 00.26|+09 24 34.20| 1.58|2011-12-07|1|   1.0| |    |55 Peg
0.0004|355.47912|+44.17800|744|J23419+441   |HH And                 |905     |23 41 54.99|+44 10 40.80| 6.88|2011-11-11|1| 400.0| |    |HH And
