#2MASS J00182256+4401222
  3|PM I10508+0648  |Gl 402    |162.71704|+06.80826| 0.52610|3238| 0.2760| 0.2460| 0.16|M3.9  |13.308|11.694|10.446| 8.830|12.550|11.075| 9.620| 8.806| 7.329| 6.699| 6.428|10.647|12.127| 9.108| 0.52610|3293| 0.2650| 0.2540| 9.40| 1.696|Gl 402
#2MASS J10562886+0700527
  2|PM I10564+0700  |Gl 406    |164.12042|+07.01472| 0.57980|2818| 0.1348| 0.0997| 0.25|M5.9  |15.518|13.520|11.612| 9.366|14.582|12.774|10.376| 8.977| 7.074| 6.462| 6.147|11.395|13.993| 9.581| 0.58000|2808| 0.1350| 0.1050| 9.45| 0.504|Gl 406
#2MASS J11032027+3558203
  3|PM I11033+3558  |Gl 411    |165.83423|+35.97054|10.82100|3563| 0.3890| 0.3860|-0.38|M1.9  | 9.019| 7.498| 6.475| 5.275| 8.333| 6.898| 5.938| 5.419| 4.167| 3.601| 3.361| 6.854| 7.912| 5.522|10.82000|3637| 0.3720| 0.3960| 9.54| 3.187|Gl 411
#2MASS J11052903+4331357
  3|PM I11054+4331  |Gl 412A   |166.36992|+43.52665| 3.08700|3619| 0.3830| 0.3900|-0.37|M1.1  |10.288| 8.778| 7.726| 6.619| 9.616| 8.114| 7.257| 6.794| 5.552| 4.971| 4.739| 8.149| 9.165| 6.852| 3.08700|3649| 0.3760| 0.4000| 9.47| 0.567|Gl 412A
#2MASS J11053133+4331170
  3|PM I11055+4331  |Gl 412B   |166.37876|+43.52164| 0.13110|2863| 0.1262| 0.0952|-0.32|M6.6  |16.435|14.472|12.738|10.581|15.529|13.759|11.548|10.400| 8.733| 8.148| 7.815|12.638|14.947|10.886|        |    |       |       |     |      |Gl 412B
#2MASS J11421096+2642251
  3|PM I11421+2642  |Gl 436    |175.54610|+26.70668| 0.82770|3479| 0.4490| 0.4450| 0.01|M2.8  |12.139|10.691| 9.561| 8.161|11.467|10.079| 8.879| 8.237| 6.911| 6.301| 6.039| 9.859|11.085| 8.431| 0.82800|3584| 0.4200| 0.4470| 9.47| 5.702|Gl 436
#2MASS J11474440+0048164
  3|PM I11477+0048  |Gl 447    |176.93491|+00.80473| 1.02800|3192| 0.1967| 0.1680|-0.02|M4.3  |12.862|11.148| 9.826| 8.129|12.044|10.510| 8.938| 8.073| 6.568| 6.000| 5.682| 9.991|11.597| 8.409| 1.02800|3201| 0.1950| 0.1760| 9.45| 0.081|Gl 447
#2MASS J11505787+4822395
  3|PM I11509+4822  |GJ 1151   |177.74054|+48.37739| 0.16810|3118| 0.1903| 0.1540| 0.03|M4.5  |15.021|13.234|11.849|10.088|14.153|12.578|10.920|10.032| 8.523| 7.950| 7.655|11.988|13.687|10.380| 0.16810|3152| 0.1850| 0.1630| 9.40| 0.743|GJ 1151
#2MASS J12100559-1504156
  2|PM I12100-1504  |GJ 3707   |182.52332|-15.07102| 0.34990|3385| 0.3900| 0.3870| 0.26|M3.8  |13.651|12.086|10.844| 9.245|12.910|11.470|10.031| 9.229| 7.794| 7.152| 6.870|11.050|12.507| 9.519| 0.34990|3420| 0.3800| 0.3970| 9.44| 0.668|GJ 3707
#2MASS J13295979+1022376
  3|PM I13299+1022  |Gl 514    |202.49895|+10.37731| 2.20600|3727| 0.4830| 0.5270|-0.09|M1.1  |10.547| 9.040| 8.100| 7.035| 9.893| 8.464| 7.667| 7.195| 5.930| 5.308| 5.017| 8.517| 9.460| 7.261| 2.20600|3755| 0.4760| 0.5050| 9.45| 0.502|Gl 514
#2MASS J13454354+1453317
  2|PM I13457+1453  |Gl 526    |206.43251|+14.89139| 4.01300|3649| 0.4780| 0.4650|-0.31|M1.4  | 9.926| 8.480| 7.463| 6.316| 9.289| 7.866| 6.970| 6.442| 5.240| 4.711| 4.563| 7.854| 8.870| 6.545| 4.01300|3755| 0.4500| 0.4750| 9.51| 6.178|Gl 526
#2MASS J14341683-1231106
  2|PM I14342-1231  |Gl 555    |218.57010|-12.51964| 0.79840|3211| 0.3100| 0.2730| 0.17|M4.0  |12.938|11.338|10.063| 8.415|12.182|10.717| 9.213| 8.369| 6.861| 6.240| 5.980|10.246|11.767| 8.690| 0.79800|3322| 0.2870| 0.2830| 9.42| 6.385|Gl 555
#2MASS J15192689-0743200
  2|PM I15194-0743E |Gl 581    |229.86194|-07.72227| 0.96090|3395| 0.3110| 0.2920|-0.15|M3.2  |12.159|10.581| 9.448| 8.024|11.438| 9.970| 8.754| 8.083| 6.716| 6.132| 5.897| 9.740|11.008| 8.292| 0.96100|3457| 0.2990| 0.3060| 9.44| 2.120|Gl 581
#2MASS J16252459+5418148
  3|PM I16254+5418  |Gl 625    |246.35249|+54.30413| 1.08700|3475| 0.3310| 0.3150|-0.35|M2.1  |11.713|10.123| 9.062| 7.821|11.010| 9.492| 8.502| 7.916| 6.625| 6.069| 5.836| 9.429|10.545| 8.064| 1.08700|3540| 0.3190| 0.3330| 9.54| 2.338|Gl 625
#2MASS J16301808-1239434
