#2MASS J00182256+4401222
J1907+2053             |1|  |19 07 05.57|+20 53 16.9|-0.474|-0.350| 6.521|M3V  |M1.5V| 3.18| 2.45| 0.933|-0.47|  28|  45.3| 9|  1|2M|Simbad
#2MASS J19071320+2052372
J1907+2052             |1|  |19 07 13.21|+20 52 37.3|-0.479|-0.333| 6.517|M3V  |M2V  | 3.44| 2.77| 0.932|-0.38|  33|  38.0| 9|  1|2M|Simbad
#2MASS J19074283+3232396
J1907+3232             |1|  |19 07 42.99|+32 32 41.5| 1.221| 1.101| 6.416|M4V  |M3V  | 4.49| 2.88| 0.885|-0.08| -43| -40.5| 6|  1|2M|Simbad
#2MASS J19165526+0510086
J1916+0509             |1|  |19 16 57.60|+05 09 01.6|-0.614|-1.368| 8.765|M8/9V|M8cV | 5.27| 1.01| 0.694| 0.09|  29|  36.0| 5|  1|2M|Simbad
#2MASS J19165762+0509021
J1916+0509             |1|  |19 16 57.60|+05 09 01.6|-0.614|-1.368| 8.765|M8/9V|M8cV | 5.27| 1.01| 0.694| 0.09|  29|  36.0| 5|  1|2M|Simbad
#2MASS J19535443+4424541
J1953+4424W            |2|  |19 53 54.49|+44 24 53.4| 0.397|-0.482| 6.854|M6V  |M5.5V| 4.89| 2.01| 0.789| 0.01|   3|  41.7| 4|  2|2M|Simbad
#2MASS J19535508+4424550
J1953+4424W            |2|  |19 53 54.49|+44 24 53.4| 0.397|-0.482| 6.854|M6V  |M5.5V| 4.89| 2.01| 0.789| 0.01|   3|  41.7| 4|  2|2M|Simbad
#2MASS J20294834+0941202
J2029+0941             |1|  |20 29 48.33|+09 41 20.2| 0.665| 0.132| 7.307|M5V  |M4.5V| 5.39| 2.74| 0.840| 0.11| -26| -25.3| 7|  1|2M|Simbad
#2MASS J20403364+1529572
J2040+1529             |2|  |20 40 33.87|+15 29 58.9| 1.324| 0.660| 7.749|M5V  |M4.5V| 6.57| 2.86| 0.859| 0.26| -59| -57.7|10|  1|2M|Simbad
#2MASS J22011310+2818248
J2201+2818             |1|  |22 01 13.12|+28 18 24.9| 0.390| 0.043| 6.777|M4V  |M4V  | 5.40| 3.79| 0.862| 0.11|  -7| -21.3| 6|  1|2M|Simbad
#2MASS J23430628+3632132
J2343+3632             |1|  |23 43 06.31|+36 32 13.2| 0.942|-0.143| 7.226|M4V  |M4V  | 5.56| 3.19| 0.870| 0.14|   2|  15.1| 8|  1|2M|Simbad
