2MASS J16580884+2544392|0.191|254.5333|+25.7442|GJ649     |16 58 08|+25 44 39| 96.7| 1.4|H   |M1    | 9.7| 5.624| 0.016| 0.54| 0.03| 0.07|-0.08|GJ649
2MASS J17185868-3459483|0.172|259.7417|-34.9967|GJ667C    |17 18 58|-34 59 48|138.0| 0.6|F00 |M1.5  |10.2| 6.036| 0.020| 0.32| 0.03|-0.50|-0.47|GJ667C
2MASS J17254521+0206406|0.058|261.4375| +2.1114|GJ673     |17 25 45|+02 06 41|129.9| 0.7|H   |K7    | 7.5| 4.170| 0.030| 0.71| 0.03| 0.03|-0.14|GJ673
2MASS J17302272+0532547|0.181|262.5917| +5.5483|GJ678.1   |17 30 22|+05 32 54|100.2| 1.1|H   |M0    | 9.3| 5.422| 0.029| 0.57| 0.03| 0.01|-0.12|GJ678.1A
2MASS J17362594+6820220|0.084|264.1042|+68.3389|GJ687     |17 36 25|+68 20 20|220.8| 0.9|H   |M3    | 9.2| 4.548| 0.021| 0.40| 0.03| 0.12|-0.06|GJ687
2MASS J17375330+1835295|0.082|264.4708|+18.5917|GJ686     |17 37 53|+18 35 30|123.7| 1.6|H   |M1    | 9.6| 5.572| 0.020| 0.44| 0.03|-0.25|-0.31|GJ686
2MASS J17435595+4322441|0.175|265.9792|+43.3786|GJ694     |17 43 55|+43 22 43|105.5| 1.2|H   |M2.5  |10.5| 5.964| 0.020| 0.44| 0.03| 0.16|-0.03|GJ694
2MASS J17574849+0441405|0.124|269.4500| +4.6933|GJ699     |17 57 48|+04 41 36|545.4| 0.3|B99 |M4    | 9.6| 4.524| 0.020| 0.16| 0.01|-0.59|-0.58|GJ699
2MASS J18050755-0301523|0.145|271.2792| -3.0311|GJ701     |18 05 07|-03 01 52|128.9| 1.4|H   |M1    | 9.4| 5.306| 0.021| 0.48| 0.03|-0.12|-0.22|GJ701
2MASS J18424666+5937499|0.086|280.6917|+59.6303|GJ725A    |18 42 46|+59 37 49|280.2| 2.2|H   |M3    | 8.9| 4.432| 0.020| 0.33| 0.03|-0.22|-0.28|GJ725A
2MASS J18424688+5937374|0.122|280.6917|+59.6267|GJ725B    |18 42 46|+59 37 36|289.5| 3.2|H   |M3.5  | 9.7| 5.000| 0.023| 0.25| 0.02|-0.38|-0.39|GJ725B
2MASS J18494929-2350101|0.083|282.4542|-23.8361|GJ729     |18 49 49|-23 50 10|336.7| 2.0|H   |M3.5  |10.5| 5.370| 0.016| 0.17| 0.01|-0.41|-0.44|GJ729
2MASS J19070556+2053168|0.132|286.7708|+20.8881|GJ745A    |19 07 05|+20 53 17|117.5| 2.3|H   |M1.5  |10.8| 6.521| 0.021| 0.30| 0.03|-0.52|-0.48|GJ745A
2MASS J19071320+2052372|0.048|286.8042|+20.8769|GJ745B    |19 07 13|+20 52 37|114.2| 2.3|H   |M2    |10.8| 6.517| 0.023| 0.31| 0.03|-0.49|-0.46|GJ745B
2MASS J19165526+0510086|0.064|289.2292| +5.1689|GJ752A    |19 16 55|+05 10 08|170.4| 1.0|H   |M2.5  | 9.1| 4.673| 0.020| 0.48| 0.03| 0.23| 0.02|GJ752A
2MASS J19165762+0509021|1.277|289.2292| +5.1689|GJ752A    |19 16 55|+05 10 08|170.4| 1.0|H   |M2.5  | 9.1| 4.673| 0.020| 0.48| 0.03| 0.23| 0.02|GJ752A
2MASS J19535443+4424541|0.077|298.4750|+44.4150|GJ1245    |19 53 54|+44 24 54|220.2| 1.0|Y   |M5.5  |14.0| 7.387| 0.018| 0.11| 0.00|-0.07|-0.18|GJ1245A
2MASS J19535508+4424550|0.195|298.4750|+44.4150|GJ1245    |19 53 54|+44 24 54|220.2| 1.0|Y   |M5.5  |14.0| 7.387| 0.018| 0.11| 0.00|-0.07|-0.18|GJ1245A
2MASS J20105242+7714201|0.024|302.7167|+77.2389|GJ786     |20 10 52|+77 14 20| 59.1| 0.7|H   |K7    | 8.9| 5.667| 0.016| 0.76| 0.03| 0.06|-0.15|GJ786
2MASS J20303207+6526586|0.008|307.6333|+65.4494|GJ793     |20 30 32|+65 26 58|125.1| 1.1|H   |M2.5  |10.6| 5.933| 0.023| 0.38| 0.03| 0.06|-0.10|GJ793
2MASS J20450403+4429562|0.021|311.2667|+44.4989|GJ806     |20 45 04|+44 29 56| 81.2| 1.7|H   |M1.5  |10.8| 6.533| 0.016| 0.44| 0.03|-0.07|-0.19|GJ806
2MASS J20531977+6209156|0.093|313.3292|+62.1542|GJ809     |20 53 19|+62 09 15|141.9| 0.6|H   |M0.5  | 8.6| 4.618| 0.024| 0.58| 0.03| 0.06|-0.09|GJ809
2MASS J21065341+3844529|0.494|316.7292|+38.7419|GJ820B    |21 06 55|+38 44 31|285.9| 0.5|H   |K7    | 6.0| 2.700| 0.030| 0.66| 0.04|-0.12|-0.25|GJ820B
2MASS J21065473+3844265|0.052|316.7292|+38.7419|GJ820B    |21 06 55|+38 44 31|285.9| 0.5|H   |K7    | 6.0| 2.700| 0.030| 0.66| 0.04|-0.12|-0.25|GJ820B
2MASS J22021026+0124006|0.070|330.5417| +1.4000|GJ846     |22 02 10|+01 24 00| 97.6| 1.5|H   |M0    | 9.2| 5.322| 0.023| 0.60| 0.03| 0.05|-0.09|GJ846
2MASS J22094029-0438267|0.086|332.4167| -4.6406|GJ849     |22 09 40|-04 38 26|109.9| 2.1|H   |M3.5  |10.4| 5.594| 0.017| 0.49| 0.03| 0.54| 0.22|GJ849
2MASS J22275958+5741453|0.063|336.9958|+57.6958|GJ860A    |22 27 59|+57 41 45|249.9| 1.9|H   |M3    | 9.8| 4.777| 0.029| 0.32| 0.02| 0.25| 0.03|GJ860A
2MASS J22275958+5741453|0.063|336.9958|+57.6958|GJ860A    |22 27 59|+57 41 45|249.9| 1.9|H   |M3    | 9.8| 4.777| 0.029| 0.32| 0.02| 0.25| 0.03|GJ860A
2MASS J22464980+4420030|0.131|341.7042|+44.3339|GJ873     |22 46 49|+44 20 02|199.0| 0.9|G98 |M3.5  |10.2| 5.299| 0.024| 0.32| 0.02| 0.11|-0.07|GJ873
2MASS J22531672-1415489|0.178|343.3167|-14.2636|GJ876     |22 53 16|-14 15 49|214.6| 0.2|B02 |M4    |10.2| 5.010| 0.021| 0.33| 0.02| 0.40| 0.12|GJ876
2MASS J22563497+1633130|0.193|344.1417|+16.5533|GJ880     |22 56 34|+16 33 12|146.1| 1.0|H   |M1.5  | 8.7| 4.523| 0.016| 0.58| 0.03| 0.25| 0.05|GJ880
2MASS J23055131-3551130|0.007|346.4667|-35.8531|GJ887     |23 05 52|-35 51 11|305.3| 0.7|H   |M0.5  | 7.3| 3.380| 0.030| 0.49| 0.03|-0.15|-0.24|GJ887
2MASS J23415498+4410407|0.178|355.4750|+44.1778|GJ905     |23 41 54|+44 10 40|316.0| 1.1|Y   |M5    |12.3| 5.929| 0.020| 0.14| 0.01| 0.17| 0.05|GJ905
2MASS J23491255+0224037|0.132|357.3000| +2.4011|GJ908     |23 49 12|+02 24 04|167.3| 1.2|H   |M1    | 9.0| 5.043| 0.020| 0.42| 0.03|-0.39|-0.41|GJ908
