2MASS J16200353-3731449|0.116|245.0167|-37.5281|Gl618A    | |16 20 04|-37 31 41|119.8| 2.5|H  |M3V   |10.6| 5.950| 0.021| 0.39| 0.03|-0.08|Gl618A
2MASS J16301808-1239434|0.031|247.5750|-12.6631|Gl628     | |16 30 18|-12 39 47|233.0| 1.6|H  |M3V   |10.1| 5.075| 0.024| 0.30| 0.02|-0.02|Gl628
2MASS J16552527-0819207|0.077|253.8542| -8.3231|Gl643     | |16 55 25|-08 19 23|148.9| 4.0|H  |M3.5V |11.8| 6.724| 0.017| 0.21| 0.02|-0.28|Gl643
2MASS J16552880-0820103|1.224|253.8542| -8.3231|Gl643     | |16 55 25|-08 19 23|148.9| 4.0|H  |M3.5V |11.8| 6.724| 0.017| 0.21| 0.02|-0.28|Gl643
2MASS J17185868-3459483|0.204|259.7417|-34.9950|Gl667C    | |17 18 58|-34 59 42|146.3| 9.0|H  |M2V   |10.2| 6.036| 0.020| 0.30| 0.03|-0.53|Gl667C
2MASS J17283991-4653424|0.015|262.1667|-46.8950|Gl674     | |17 28 40|-46 53 42|220.2| 1.4|H  |M3V   | 9.4| 4.855| 0.018| 0.35| 0.03|-0.25|Gl674
2MASS J17302272+0532547|0.183|262.5917| +5.5481|Gl678.1A  | |17 30 22|+05 32 53|100.2| 1.1|H  |M1V   | 9.3| 5.422| 0.029| 0.57| 0.03|-0.11|Gl678.1A
2MASS J17370367-4419088|0.122|264.2625|-44.3197|Gl682     | |17 37 03|-44 19 11|196.9| 2.1|H  |M4.5V |11.0| 5.606| 0.020| 0.27| 0.02| 0.11|Gl682
2MASS J17375330+1835295|0.082|264.4708|+18.5917|Gl686     | |17 37 53|+18 35 30|123.0| 1.6|H  |M1    | 9.6| 5.572| 0.020| 0.45| 0.03|-0.37|Gl686
2MASS J17463427-5719081|0.112|266.6458|-57.3197|Gl693     | |17 46 35|-57 19 11|171.5| 2.3|H  |M3.5V |10.8| 6.016| 0.017| 0.26| 0.02|-0.30|Gl693
2MASS J17574849+0441405|0.125|269.4542| +4.6933|Gl699     | |17 57 49|+04 41 36|549.0| 1.6|H  |M4V   | 9.6| 4.524| 0.020| 0.16| 0.01|-0.52|Gl699
2MASS J18050755-0301523|0.145|271.2792| -3.0314|Gl701     | |18 05 07|-03 01 53|128.9| 1.4|H  |M0V   | 9.4| 5.306| 0.021| 0.48| 0.03|-0.27|Gl701
2MASS J18073292-1557464|0.020|271.8875|-15.9631|GJ1224    | |18 07 33|-15 57 47|132.6| 3.7|H  |M4.5V |13.6| 7.827| 0.027| 0.14| 0.01|-0.10|GJ1224
2MASS J18494929-2350101|0.087|282.4542|-23.8367|Gl729     | |18 49 49|-23 50 12|336.7| 2.0|H  |M3.5V |10.5| 5.370| 0.016| 0.17| 0.01|-0.10|Gl729
2MASS J19165526+0510086|0.082|289.2292| +5.1681|Gl752A    | |19 16 55|+05 10 05|170.4| 1.0|H  |M3V   | 9.1| 4.673| 0.020| 0.48| 0.03| 0.06|Gl752A
2MASS J19165762+0509021|1.234|289.2292| +5.1681|Gl752A    | |19 16 55|+05 10 05|170.4| 1.0|H  |M3V   | 9.1| 4.673| 0.020| 0.48| 0.03| 0.06|Gl752A
2MASS J19204795-4533283|0.029|290.2000|-45.5583|Gl754     | |19 20 48|-45 33 30|169.2| 1.6|H  |M4.5  |12.2| 6.845| 0.026| 0.18| 0.01|-0.17|Gl754
2MASS J20403364+1529572|0.087|310.1417|+15.4992|GJ1256    | |20 40 34|+15 29 57|102.0| 2.2|H  |M4.5  |13.4| 7.749| 0.031| 0.19| 0.01| 0.10|GJ1256
2MASS J20450949-3120266|0.110|311.2917|-31.3417|Gl803     |+|20 45 10|-31 20 30|100.9| 1.1|H  |M0V e | 8.8| 4.529| 0.020| 0.75| 0.03| 0.32|Gl803
2MASS J21333397-4900323|0.060|323.3917|-49.0100|Gl832     | |21 33 34|-49 00 36|201.9| 1.0|H  |M1V   | 8.7| 4.473| 0.050| 0.45| 0.03|-0.19|Gl832
2MASS J22021026+0124006|0.070|330.5417| +1.4000|Gl846     | |22 02 10|+01 24 00| 97.6| 1.5|H  |M0.5V | 9.2| 5.322| 0.023| 0.60| 0.03| 0.06|Gl846
2MASS J22022935-3704512|0.084|330.6208|-37.0817|LHS3746   | |22 02 29|-37 04 54|134.3| 1.3|H  |M3.5  |11.8| 6.718| 0.020| 0.24| 0.02|-0.15|LHS3746
2MASS J22094029-0438267|0.102|332.4167| -4.6417|Gl849     | |22 09 40|-04 38 30|109.9| 2.1|H  |M3V   |10.4| 5.594| 0.017| 0.49| 0.03| 0.24|Gl849
2MASS J22230696-1736250|0.034|335.7792|-17.6064|LHS3799   | |22 23 07|-17 36 23|134.4| 4.9|H  |M4.5V |13.3| 7.319| 0.018| 0.18| 0.01| 0.18|LHS3799
2MASS J22531672-1415489|0.068|343.3208|-14.2633|Gl876     | |22 53 17|-14 15 48|213.3| 2.1|H  |M3.5V |10.2| 5.010| 0.021| 0.34| 0.02| 0.15|Gl876
2MASS J22554532-7527320|0.086|343.9417|-75.4600|Gl877     | |22 55 46|-75 27 36|116.1| 1.2|H  |M2.5  |10.4| 5.811| 0.021| 0.43| 0.03|-0.01|Gl877
2MASS J22563497+1633130|0.047|344.1458|+16.5533|Gl880     | |22 56 35|+16 33 12|146.1| 1.0|H  |M1.5V | 8.7| 4.523| 0.016| 0.58| 0.03| 0.07|Gl880
2MASS J23055131-3551130|0.017|346.4667|-35.8533|Gl887     | |23 05 52|-35 51 12|303.9| 0.9|H  |M2V   | 7.3| 3.465| 0.200| 0.47| 0.05|-0.24|Gl887
2MASS J23491255+0224037|0.121|357.3042| +2.4017|Gl908     | |23 49 13|+02 24 06|167.3| 1.2|H  |M1V   | 9.0| 5.043| 0.020| 0.42| 0.03|-0.44|Gl908
