2MASS J14341683-1231106|0.0000|218.57005|-12.51955|Gl 555      | 6.1|11.32| 5.939|2010-05-22| 716| 7.051| 0.041| 3.992| 0.039| 0.895| 0.002|3|3288| 27| 0.16| 0.12| 0.22| 0.17|Gl 555                 |218.57005|-12.51955
2MASS J15192689-0743200|0.1704|229.86462|-07.72207|Gl 581      | 6.3|10.57| 5.837|2009-02-05| 359| 4.965| 0.078| 3.656| 0.077| 0.947| 0.003|2|3534| 18|-0.06| 0.12|-0.10| 0.17|Gl 581                 |229.86462|-07.72207
2MASS J16252459+5418148|0.0000|246.35260|+54.30410|Gl 625      | 6.6|10.13| 5.833|2009-07-19| 573| 4.112| 0.049| 3.144| 0.046| 0.931| 0.002|3|3464| 17|-0.16| 0.12|-0.23| 0.17|Gl 625                 |246.35260|+54.30410
2MASS J16301808-1239434|0.0000|247.57524|-12.66259|Gl 628      | 4.3|10.10| 5.075|2010-05-24| 808| 5.548| 0.036| 3.508| 0.034| 0.913| 0.002|3|3380| 20|-0.01| 0.12|-0.02| 0.17|Gl 628                 |247.57524|-12.66259
2MASS J16552527-0819207|0.0000|253.85530|-08.32244|Gl 643      | 6.5|11.73| 5.756|2009-07-19| 530| 4.703| 0.055| 2.617| 0.052| 0.912| 0.002|3|3376| 20|-0.15| 0.12|-0.22| 0.17|Gl 643                 |253.85530|-08.32244
2MASS J16552880-0820103|0.0000|253.86982|-08.33633|Gl 644 AB   | 6.5| 9.80| 4.403|2009-07-19| 587| 3.623| 0.048| 2.769| 0.045| 1.015| 0.003|1|3845| 19|-0.27| 0.12|-0.39| 0.17|Gl 644                 |253.86982|-08.33633
2MASS J16553529-0823401|0.0000|253.89705|-08.39447|Gl 644 C    | 6.5|16.70| 8.816|2009-07-19| 542| 5.117| 0.054| 0.571| 0.051| 0.745| 0.002|7|2727| 29|-0.21| 0.12|-0.32| 0.17|Gl 644 C               |253.89705|-08.39447
2MASS J16580884+2544392|0.0000|254.53688|+25.74416|Gl 649      |10.3| 9.70| 5.624|2010-05-22| 862| 4.966| 0.087| 4.534| 0.033| 0.993| 0.002|1|3733| 20|-0.02| 0.12|-0.04| 0.17|Gl 649                 |254.53688|+25.74416
2MASS J17093153+4340531|0.0000|257.38143|+43.68134|G 203-47    | 7.3|11.77| 6.485|2009-07-19| 659| 7.978| 0.045| 3.969| 0.043| 0.882| 0.002|4|3218| 34| 0.24| 0.12| 0.33| 0.17|G 203-47               |257.38143|+43.68134
2MASS J17120780+4539587|0.0000|258.03297|+45.66589|Gl 661 AB   | 6.1| 9.44| 4.830|2009-07-19| 708| 3.577| 0.039| 2.714| 0.035| 0.892| 0.002|3|3272| 28|-0.21| 0.12|-0.31| 0.17|Gl 661                 |258.03297|+45.66589
2MASS J17362594+6820220|0.0000|264.10792|+68.33914|Gl 687      | 4.5| 9.15| 4.548|2010-05-24| 984| 4.643| 0.057| 3.712| 0.027| 0.916| 0.002|3|3395| 18|-0.06| 0.12|-0.09| 0.17|Gl 687                 |264.10792|+68.33914
2MASS J17375330+1835295|0.0000|264.47228|+18.59171|Gl 686      | 8.1| 9.62| 5.572|2009-07-19| 702| 3.855| 0.039| 3.268| 0.037| 0.985| 0.002|1|3693| 20|-0.20| 0.12|-0.28| 0.17|Gl 686                 |264.47228|+18.59171
2MASS J17574849+0441405|0.0000|269.45207|+04.69339|Gl 699      | 1.8| 9.54| 4.524|2010-05-24| 758| 3.745| 0.043| 1.967| 0.037| 0.891| 0.002|4|3266| 29|-0.27| 0.12|-0.39| 0.17|Gl 699                 |269.45207|+04.69339
2MASS J18073292-1557464|0.0000|271.88720|-15.96291|GJ 1224     | 7.5|13.64| 7.827|2009-07-19| 876| 6.032| 0.035| 2.702| 0.033| 0.887| 0.002|4|3245| 31|-0.03| 0.12|-0.05| 0.17|GJ 1224                |271.88720|-15.96291
2MASS J18185725+6611332|0.0000|274.73857|+66.19256|LHS 3376    | 7.3|13.46| 7.948|2009-07-19| 718| 5.288| 0.042| 2.333| 0.039| 0.836| 0.002|5|3012| 45|-0.08| 0.12|-0.12| 0.17|LHS 3376               |274.73857|+66.19256
2MASS J18424666+5937499|0.0000|280.69450|+59.63041|Gl 725 A    | 3.6| 8.94| 4.432|2009-07-19| 866| 3.068| 0.034| 2.152| 0.031| 0.982| 0.002|1|3680| 18|-0.34| 0.12|-0.49| 0.17|Gl 725 A               |280.69450|+59.63041
2MASS J18424688+5937374|0.0000|280.69569|+59.62676|Gl 725 B    | 3.5| 9.70| 5.000|2009-07-19| 832| 3.594| 0.035| 2.308| 0.033| 0.895| 0.002|3|3288| 27|-0.25| 0.12|-0.36| 0.17|Gl 725 B               |280.69569|+59.62676
