2MASS J05015746-0656459|All|PM I05019-0656  |      |    |    | |05 01 57.5|-06 56 45| 0.1879|He06|-0.560|-0.531|12.22|APASS|13.92|12.22|12.99|11.53| 9.84| 7.617| 7.065| 6.736|A|M5|S| 0.405| 0.394| 0.667|-15.16| 2.235| 3.003|  0.25|     |3144|PHX|-| 0.19|-| 0.003|-| 0.14|05015746-0656459|0
2MASS J05015881+0958587|All|PM I05019+0958  | 23418|    |    | |05 01 58.8|+09 58 59| 0.0301|VL07| 0.012|-0.074|11.47|HIPPA|13.02|11.59|12.21|10.90| 9.40| 7.212| 6.657| 6.370|C|M4|M| 0.433| 0.438| 0.702|-10.38| 1.533| 2.048|  4.56| 0.03|3348|PHX| | 0.28| | 0.010| | 0.26|05015881+0958587|0
2MASS J05022845-2115236|All|PM I05024-2115  | 23452|5912| 481|1|05 02 28.4|-21 15 23| 0.1166|VL07|-0.143|-0.222| 8.39|HIPPA|10.00| 9.40|10.13| 8.91| 7.68| 5.450| 4.853| 4.600|A|M0|S| 0.823| 0.766| 0.889| -4.18| 0.864| 0.729| -0.56|-0.34|3833|PHX| | 0.54| | 0.055| | 0.58|05022845-2115236|0
2MASS J05114046-4501051|All|PM I05116-4501  | 24186|8078|1749|1|05 11 40.6|-45 01 06| 0.2557|VL07| 6.505|-5.731| 8.93|HIPPA|     |     |     |     |     | 5.821| 5.316| 5.049|A|M0| | 0.806| 0.682| 0.837| -3.42| 1.249| 0.882| -0.39|     |3695|PHX| | 0.49| | 0.039| | 0.52|05114046-4501051|0
2MASS J05312734-0340356|All|PM I05314-0340  | 25878|4770| 574|1|05 31 27.4|-03 40 38| 0.1768|VL07| 0.762|-2.094| 8.01|HIPPA| 9.46| 8.56| 9.45| 8.23| 6.89| 4.999| 4.149| 4.039|A|M1|S| 0.669| 0.628| 0.830| -5.92| 1.375| 1.071| -0.53|     |3701|PHX| | 0.49| | 0.039| | 0.52|05312734-0340356|0
2MASS J05331913+4448587|All|PM I05333+4448  |      |    |    | |05 33 19.1|+44 48 58| 0.0652|VA95| 0.060|-0.360|12.31|APASS|13.91|12.31|13.05|11.67|10.29| 8.197| 7.585| 7.335|A|M4| | 0.489| 0.450| 0.702|-10.02| 1.670| 2.002|  1.96|     |3518|PHX| | 0.40| | 0.022| | 0.41|05331913+4448587|0
2MASS J05420897+1229252|All|PM I05421+1229  | 26857| 722| 455|1|05 42 09.3|+12 29 21| 0.1716|VL07| 2.001|-1.570|11.46|HIPPA|13.05|11.57|12.18|10.90| 9.37| 7.124| 6.627| 6.389|A|M5| | 0.437| 0.423| 0.720|-11.93| 1.354| 2.028| -0.24|     |3122|PHX|-| 0.19|-| 0.003|-| 0.14|05420897+1229252|0
2MASS J05531404+2415329|All|PM I05532+2415  |      |    |    | |05 53 14.1|+24 15 31| 0.0515|VA95| 0.158|-0.596|10.93|APASS|12.30|10.93|11.58|10.23|     | 7.485| 6.829| 6.633|A|M2|S| 0.651| 0.607| 0.820| -6.06| 1.128| 1.013| -0.47|-0.07|3832|PHX| | 0.54| | 0.055| | 0.58|05531404+2415329|0
2MASS J06000351+0242236|All|PM I06000+0242  |      | 134| 605|1|06 00 03.5|+02 42 23| 0.1909|He06| 0.311|-0.042|11.40|APASS|12.97|11.40|12.06|10.66| 9.15| 6.905| 6.308| 6.042|A|M4|S| 0.443| 0.420| 0.682|-13.67| 2.146| 2.594|  1.64| 0.15|3168|PHX|-| 0.19|-| 0.003|-| 0.14|06000351+0242236|0
2MASS J06011106+5935508|All|PM I06011+5935  |      |    |    | |06 01 11.1|+59 35 49| 0.1335|Di14|-0.015|-1.159|12.07|USNOB|     |     |     |     |     | 7.465| 6.949| 6.639|A|M4| | 0.423| 0.450| 0.716|-11.22| 1.832| 2.432| -0.01|     |3178|PHX|-| 0.19|-| 0.003|-| 0.14|06011106+5935508|0
2MASS J06101978+8206256|All|PM I06103+8206  | 29277|4537| 528|1|06 10 19.8|+82 06 24| 0.1067|VL07| 0.051|-1.336|10.52|HIPPA|11.94|10.55|11.18| 9.87| 8.70| 6.869| 6.295| 6.061|A|M3| | 0.578| 0.582| 0.780| -6.02| 0.215| 1.406| -0.30|     |3583|PHX| | 0.43| | 0.027| | 0.45|06101978+8206256|0
2MASS J06103462-2151521|All|PM I06105-2151  | 29295|5945| 765|1|06 10 34.6|-21 51 52| 0.1738|VL07|-0.137|-0.714| 8.20|HIPPA| 9.94| 9.26|10.11| 8.84| 7.52| 5.104| 4.393| 4.166|A|M1|S| 0.714| 0.660| 0.844| -5.54| 1.193| 0.935| -0.52| 0.02|3790|PHX| | 0.52| | 0.049| | 0.56|06103462-2151521|0
